date,vacuum_truck_number,unit,vacuum_truck_movement_description,vacuum_truck_material_description,offload_sitewaste_destination,controlled_yes_no,destination_benzene_control_description,,,total_waste_quantity_bbls,,vac_truck_log_water_content
09/05/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE SETTLER- BAY 3,CRUDE,PLANT 2 - TANK 20,,TANK 20,,,12,,<10%
09/05/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE  SUMP,CRUDE,PLANT 2 - TANK 20,,TANK 20,,,5,,<10%
09/05/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 45 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 57 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/05/2013,LV-4,PLANT 2 - water draws,PLANT 2 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,1,,99%
09/05/2013,LV-2,PLANT 2 - UNIT 070 - WASTE WATER,PLANT 2 - MIDDLE API,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,16,,>90%
09/05/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/05/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,99%
09/05/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE UNLOADING SUMP,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,>90%
09/05/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/05/2013,LV-2,PLANT 2 - UNIT 070 - WASTE WATER,PLANT 2 - MIDDLE API,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/05/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/05/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 20,,TANK 20,,,15,,<10%
09/05/2013,LV-5,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,60,,<10%
09/05/2013,LV-4,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 ,DIESEL,PLANT 1 - TANK 34,,,,,60,,<10%
09/05/2013,LV-8,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801,DIESEL,PLANT 1 - TANK 34,,,,,120,,<10%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4508 - DGF,DIESEL,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,55,,<10%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,99%
09/05/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - FINGER LAKE,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/05/2013,LV-1,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801,DIESEL,PLANT 1 - TANK 4508,,,,,60,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 2 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,18,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 3 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,10,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1 N – Tank 4(clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9.5,,<10%
09/06/2013,LV-7,PLANT 1 - NORTH OF THE FENCELINE,P1N - Tank 29 (clean truck),SLOP OIL,PLANT 2 - TANK 20,,TANK 20,,,9.5,,<10%
09/06/2013,LV-4,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,52,,99%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - 3RD LAGOON,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/06/2013,LV-1,PLANT 1 - LABORATORY,PLANT 1 - TANK 4513 - SLUDGE,SLUDGE,PLANT 1 - TANK 29,,,,,100,,<10%
