date,vacuum_truck_number,unit,vacuum_truck_movement_description,vacuum_truck_material_description,offload_sitewaste_destination,controlled_yes_no,destination_benzene_control_description,,,total_waste_quantity_bbls,,vac_truck_log_water_content
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,4,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - SLUDGE,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - SLUDGE,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),"PLANT 1 - TANKS 4514,4515,4516,4517,4518, ENVIRONMENTALS CAUSTIC  - CONTAINMENTS",STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - SAMPLE POINTS - ENVIRONMENTAL,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,99%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,8,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4513 - SLUDGE,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,45,,10-30%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,FRAC TANKS IN WASHPAD AT PLANT 3 ,,,,,65,,99%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,FRAC TANKS IN WASHPAD AT PLANT 3,,,,,65,,99%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/13/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,>90%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,4,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/13/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,99%
09/14/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,99%
09/14/2013,LV-5,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,poly tank by tk-182,DIESEL,PLANT 1 - TANK 182,,,,,100,,<10%
09/14/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,250,,10-30%
09/14/2013,LV-5,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - FLARE PIT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/14/2013,LV-5,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - FLARE PIT,STORMWATER,PLANT 1 - 4TH LAGOON - STORMWATER,,,,,460,,99%
09/14/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,390,,99%
09/14/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),"PLANT 1 - TANK 4514, 4515, 4516, CAUSTIC TK. CONTAINMENTS",STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,90,,99%
09/16/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - SAMPLE POINTS #2 OMD,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,22,,99%
09/16/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,85,,99%
09/16/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,7,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 1ST LAGOON,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/18/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/18/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),"PLANT 1 - TANKS 4517, 4518- CONTAINMENT",STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,110,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,70-90%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - MORGAN BOX,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,3,,99%
09/18/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/18/2013,LV-2,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2007 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - FLUX LOADING RACK,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-385 AREA,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,15,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,15,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - OMD 1 ELEC VAULTS,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SEWER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - CRUDE UNLOADING SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2007 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - NELSON BLDG,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,110,,99%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,>90%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - PUMP P-803 - AREA,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 86/87 CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,260,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 1 - GREEN FRAC TANK BY VAC PAD,,,,,60,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - OMD ELEC VAULTS,STORMWATER,PLANT 1 - GREEN FRAC TANK BY VAC PAD,,,,,60,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SUB 100,STORMWATER,PLANT 1 - GREEN FRAC TANK BY VAC PAD,,,,,60,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-292 CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,15,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,99%
09/18/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - CPI ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,105,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 64 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 96/97 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 72 - SUMP ,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 96/97 - SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,>90%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 74 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - PUMP P-803 - AREA,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,90,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 52 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2007 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 2004/2007 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,15,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-292 CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - CRUDE UNLOADING SUMP,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 3801 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - D3924 CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,80,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/18/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,75,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 72 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,40,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 70 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY STORM WATER,PLANT 3 - AU FRAC TANKS,,,,,35,,>90%
09/18/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 20,,TANK 20,,,20,,<10%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-292 CONTAINMENT - STORMWATER,STORMWATER,PLANT 3 - AU FRAC TANKS,,,,,60,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - PUMP P-467 - AREA,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - EMERGENCY BACK UP SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,DENVER TERMINAL - EMERGENCY BACK UP SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/18/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 72 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,99%
09/18/2013,LV-2,PLANT 2 - STORMWATER,PLANT 2 - JOHNSON RESERVOIR,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,120,,99%
09/18/2013,LV-2,PLANT 2 - STORMWATER,PLANT 2 - JOHNSON RESERVOIR,STORMWATER,PLANT 2 - POND,,,,,300,,99%
09/18/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - LPG ETHANOL DRUMS,ETHANOL,PLANT 1 - TANK 776,,,,,1,,<10%
09/18/2013,LV-1,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,180,,99%
09/18/2013,LV-2,PLANT 3 - STORMWATER,PLANT 3 - AU SCALE HOUSE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/18/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - CPI CONTAINMENT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/19/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,>90%
09/19/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 60 - OIL DRAIN,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,4,,>90%
09/19/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - CENTRIFUGE FRAC TANK,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,65,,<10%
09/19/2013,LV-5,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OIL,PLANT 1 - CENTRIFUGE FRAC TANKS,,TO,,,330,,<10%
09/19/2013,LV-5,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,99%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - ETHANOL DRUMS,ETHANOL,PLANT 1 - VAC PAD,,VAC PAD,,,1,,<10%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 75 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE UNLOADING SUMP,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 3801 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,20,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-196 CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,50,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - DRUM D-3924 CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,99%
09/19/2013,LV-2,PLANT 1 - NELSON BLDG MECH SHOP,PLANT 1 - MECH SHOP,DIESEL AND GAS,PLANT 1 - TANK 58,,,,,2,,<10%
09/19/2013,LV-2,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 96/97 - SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 74 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 72 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 62 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,5,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - BORE PIT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,195,,99%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/19/2013,LV-2,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - CHEM WAREHOUSE CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,300,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 64/65/66 - SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,60,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SPIDER BOX OMD,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,125,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 86/87 CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,130,,99%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - DRUM D-385 WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,2,,>90%
09/19/2013,LV-2,PLANT 3 - STORMWATER,PLANT 3 - AU SCALE HOUSE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,90,,99%
09/19/2013,LV-2,PLANT 3 - STORMWATER,PLANT 3 - VAPOR BBLS,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,6,,>90%
09/19/2013,LV-2,PLANT 3 - STORMWATER,PLANT 3 - TANK 140 PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,10,,99%
09/19/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - CPI CONTAINMENT,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - MAIN GATE - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,55,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 72 - SUMP ,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,45,,>90%
09/19/2013,LV-2,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 77 - CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,65,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - SPIDER BOX OMD,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,195,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 62 - SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,30,,>90%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 64/65/66 - SUMP,OILY STORM WATER,PLANT 1 - VAC PAD,,VAC PAD,,,35,,>90%
09/19/2013,LV-2,PLANT 3 - UNIT 032 - ASPHALT BLENDING AND LOADING,PLANT 3 - L82,OIL,PLANT 1 - VAC PAD,,VAC PAD,,,2,,<10%
09/19/2013,LV-2,PLANT 3 - STORMWATER,PLANT 3 - AU GAS OIL PAD PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,40,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - CHEM WAREHOUSE CONTAINMENT - STORMWATER,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,25,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 72 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,85,,99%
09/19/2013,LV-2,PLANT 1 - STORMWATER,PLANT 1 - TANK 96/97 - PUMP CONTAINMENT,STORMWATER,PLANT 1 - VAC PAD,,VAC PAD,,,105,,99%
