,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,
2013 TAB Data Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)1","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference3,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)4","Total Waste Quantity 
(Mg/yr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/yr)","Benzene Quantity NO Double Counts
(Mg/yr)",6BQ Quantity (Mg/yr),Notes,Aqueous Flow (Total Gallons)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01/02/2014,307164,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - CRUDE UNLOADING SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,5,210,>90%,90.0%,1.,24.,Crude,NO,715,0.02,10%,0.79,"2,400.",Crude,NO,63,0.15,YES,0.78,215.73,<0.001,<0.001,<0.001,,
01/02/2014,307164,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,20,840,99%,99.0%,1.,-0-,Stormwater,NO,"3,145",-0-,1%,0.85,0.03,Stormwater,NO,27,<0.01,YES,3.17,<0.001,<0.001,<0.001,<0.001,,
01/02/2014,307164,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,15,630,99%,99.0%,1.,4.03,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"2,359",<0.01,1%,0.73,"3,150.","Knockout Water, Fuel Gas (Hydrocraker)",NO,17,0.05,YES,2.38,27.06,<0.001,<0.001,<0.001,,
01/02/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,15,630,>90%,90.0%,1.,15.8,Denver Truck Terminal Aqueous,YES,"2,145",0.03,10%,0.79,"6,270.",Denver Truck Terminal Oil,YES,188,1.18,YES,2.33,519.89,<0.001,-,-,,
01/02/2014,307164,DENVER TRUCK TERMINAL,DENVER TERMINAL - 6000 GAL SLOP TANK,DIESEL AND GAS,PLANT 2 - TANK 20,NO,TANK 20,YES,NO,20,840,<10%,10.0%,1.,15.8,Denver Truck Terminal Aqueous,YES,318,<0.01,90%,0.79,"6,270.",Denver Truck Terminal Oil,YES,"2,256",14.15,YES,2.57,"5,497.97",0.01,-,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANKS SECONDARY CONTAINMENTS ENVIRONMENTAL,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,30,"1,260",99%,99.0%,1.,-0-,Stormwater,NO,"4,718",-0-,1%,0.85,0.03,Stormwater,NO,41,<0.01,YES,4.76,<0.001,<0.001,<0.001,<0.001,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - PROOPER PIT,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,6,252,99%,99.0%,1.,<0.01,Prooper Pit,YES,944,<0.01,1%,0.85,0.63,Prooper Pit,NO,8,<0.01,YES,0.95,0.01,<0.001,<0.001,<0.001,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - SKID AND CONCRETE PAD AT CENTRIFUGE,OILY WATER,PLANT 1 - VAC PAD,NO, VAC PAD,NO,YES,15,630,99%,99.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"2,359",0.02,1%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,19,0.03,YES,2.38,22.66,<0.001,<0.001,<0.001,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,50,"2,100",99%,90.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"7,149",0.08,10%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,647,0.97,YES,7.8,134.18,<0.001,<0.001,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,"6,991",10.49,YES,7.94,"1,321.30",0.01,0.01,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,"6,991",10.49,YES,7.94,"1,321.30",0.01,0.01,-,,
01/02/2014,1Y,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,"6,991",10.49,YES,7.94,"1,321.30",0.01,0.01,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,"6,991",10.49,YES,7.94,"1,321.30",0.01,0.01,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,YES,TO,NO,NO,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.82,"1,500.",TK-4516 Slop Oil Tank,YES,"6,991",10.49,YES,7.94,"1,321.30",0.01,0.01,-,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 1ST LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,10,420,99%,99.0%,1.,<0.01,Fourth Lagoon,NO,"1,573",<0.01,1%,0.85,0.63,Fourth Lagoon,NO,14,<0.01,YES,1.59,0.01,<0.001,<0.001,<0.001,,
01/02/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - 4TH LAGOON,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,7,294,99%,99.0%,1.,<0.01,Fourth Lagoon,YES,"1,101",<0.01,1%,0.85,0.63,Fourth Lagoon,NO,9,<0.01,YES,1.11,0.01,<0.001,<0.001,<0.001,,
01/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 - CONTAINMENT,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,20,840,99%,99.0%,1.,-0-,Stormwater,NO,"3,145",-0-,1%,0.85,0.03,Stormwater,NO,27,<0.01,YES,3.17,<0.001,<0.001,<0.001,-,,
01/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.9,816.67,TK-4516 Slop Oil Tank,NO,"7,720",6.31,YES,8.67,728.08,<0.011,<0.011,<0.011,,
01/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.9,816.67,TK-4516 Slop Oil Tank,NO,"7,720",6.31,YES,8.67,728.08,<0.011,<0.011,<0.011,,
01/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516,SLUDGE,PLANT 1 - CENTRIFUGE FRAC TANKS,NO,TO,NO,YES,60,"2,520",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,953,0.01,90%,0.9,816.67,TK-4516 Slop Oil Tank,NO,"7,720",6.31,YES,8.67,728.08,<0.011,<0.011,<0.011,,
