,,,,Instructions:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TABLE: VACUUM TRUCK MOVEMENTS,,,,"1.  Manually sum denver truck terminal, T-101, and T-29 oil on this spreadsheet (make sure ""double count"" is ""NO""); input water %, and 6BQ  to the Summary tab; input total waste quantity on Flows tab.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
End-Of-Line Quarterly Report,,,,"2.  Change ""double count"" to YES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Suncor Energy (U.S.A.), Inc. Commerce City Refinery ",,,,"3.  Manually sum TK-4516 and TK-60 slop movements that do NOT go to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"4.  Manually sum movements to Vac Pad, and add volume to flows spreadsheet (back calculation for P1 WW).",,,,,,,,,,Aqueous Phase Data,,,,,,,Organic Phase Data,,,,,,,,,,,,
Date,Vacuum Truck Number,Unit,Vacuum Truck Movement Description1,Vacuum Truck Material Description,Off-Load Site/Waste Destination,"Controlled
(YES/NO)",Destination Benzene Control Description ,"Double Count 
(YES/NO)","Count in BQ 
(YES/NO)",Total Waste Quantity (BBLS),Total Waste Quantity (Gals),Vac Truck Log Water Content,Water (%)3,Aqu. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)",Waste Quantity (Kg),Benzene Quantity (Kg),Organic (%),Org. Sp. Gravity,"Benzene Conc.
(ppmw)",Benzene Material Reference2,"EOL Material
(YES/NO)","Waste Quantity 
(Kg)","Benzene Quantity 
(Kg)","Greater than 10% Water
(YES/NO)","Total Waste Quantity 
(Mg/Qtr)","FWA Benzene Conc. 
(ppm)","TOTAL Benzene Quantity 
(Mg/Qtr)","Benzene Quantity NO Double Counts
(Mg/Qtr)",6BQ Quantity (Mg/Qtr),Notes
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 6 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,17,714,99%,95.5%,1.,24.,Crude,NO,"2,579",0.06,5%,0.79,"2,400.",Crude,NO,96,0.23,YES,2.68,109.27,<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,P1N - Tank 30,DIESEL,crude docks inside,YES,process,NO,NO,3,126,<10%,0.0%,1.,0.02,diesel,NO,-0-,-0-,100%,0.86,2.,diesel,no,410,<0.01,NO,0.41,2.00,<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,tk 46 line flux replacing valve,flux,crude docks inside,yes,process,NO,NO,0.5,21,<10%,0.0%,1.,24.,CRUDE,NO,-0-,-0-,100%,0.79,"2,400.",CRUDE,NO,63,0.15,NO,0.06,"2,400.00",<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,tk 38 sample bbl,CRUDE,crude docks inside,yes,process,no,NO,1,42,<10%,0.0%,1.,24.,crude,NO,-0-,-0-,100%,0.79,"2,400.",crude,NO,125,0.3,NO,0.13,"2,400.00",<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - CRUDE DOCKS SUMP,CRUDE,crude docks inside,NO,process,NO,YES,2,84,<10%,10.0%,1.,24.,crude,no,32,<0.01,90%,0.79,"2,400.",crude,no,226,0.54,YES,0.26,"2,107.03",<0.001,<0.001,<0.001,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,GWTS Tank 10 water draw,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,10,420,>90%,90.0%,1.,1.69,All Groundwater,NO,"1,430",<0.01,10%,0.78,"5,350.",Remediation Oil,YES,124,0.66,YES,1.55,428.74,<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 8 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,2,84,>90%,95.5%,1.,0.02,Diesel,NO,303,<0.01,5%,0.86,2.,Diesel,NO,12,<0.01,YES,0.32,0.10,<0.001,<0.001,-,
07/02/2014,307167,PLANT 2 - UNIT 210 - #2 OMD TANK FARM,PLANT 2 - TANK 26 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,48,"2,016",>90%,95.5%,1.,24.,Crude,NO,"7,282",0.17,5%,0.79,"2,400.",Crude,NO,271,0.65,YES,7.55,109.27,<0.001,<0.001,-,
07/02/2014,307163,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND TANK - TANK 101,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,67,"2,814",99%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,"9,579",0.08,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,915,1.05,YES,10.49,107.85,<0.001,-,-,
07/02/2014,307166,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - DRUM D-322 CONTAINMENT - STORMWATER/WATER,WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,15,630,99%,99.0%,1.,-0-,Stormwater,NO,"2,359",-0-,1%,0.85,0.03,Stormwater,NO,20,<0.01,YES,2.38,<0.001,<0.001,<0.001,<0.001,
07/02/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,65,"2,730",99%,95.5%,1.,24.,Crude,NO,"9,861",0.24,5%,0.79,"2,400.",Crude,NO,367,0.88,YES,10.23,109.27,<0.001,<0.001,-,
07/02/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 775 - SUMP / WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,65,"2,730",99%,95.5%,1.,24.,Crude,NO,"9,861",0.24,5%,0.79,"2,400.",Crude,NO,367,0.88,YES,10.23,109.27,<0.001,<0.001,-,
07/02/2014,307166,PLANT 1 - UNIT 039 - FLARE,PLANT 1 - FLARE SUMP,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,20,840,99%,99.0%,1.,4.03,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"3,145",0.01,1%,0.73,"3,150.","Knockout Water, Fuel Gas (Hydrocraker)",NO,23,0.07,YES,3.17,27.06,<0.001,<0.001,<0.001,
07/02/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - SAMPLE POINTS #1 OMD,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,40,"1,680",99%,99.0%,1.,24.,Crude,NO,"6,291",0.15,1%,0.79,"2,400.",Crude,NO,50,0.12,YES,6.34,42.81,<0.001,<0.001,<0.001,
07/02/2014,307166,CRUDE DOCKS UNLOADING,CRUDE DOCKS - UNDERGROUND PLANT 1,DIESEL AND WATER,PLANT 1 - VAC PAD,NO,VAC PAD,YES,NO,5,210,>90%,90.0%,1.,8.82,T-101 Underground Storage Tank Aqueous,YES,715,<0.01,10%,0.86,"1,144.29",T-101 Underground Storage Tank Oil,NO,68,0.08,YES,0.78,107.85,<0.001,-,-,
07/02/2014,307166,PLANT 1 - UNIT 008 - #1 OMD TANK FARM,PLANT 1 - TANK 3801 - WATER DRAW,OILY WATER,PLANT 1 - VAC PAD,NO,VAC PAD,NO,YES,65,"2,730",99%,95.5%,1.,0.1,Ultra Low Sulfur Diesel,NO,"9,861",<0.01,5%,0.84,10.,Ultra Low Sulfur Diesel,NO,390,<0.01,YES,10.25,0.48,<0.001,<0.001,<0.001,
07/03/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N - Monitoring Trenches North of Pond/Swale,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,25,"1,050",99%,99.0%,1.,1.69,All Groundwater,NO,"3,932",<0.01,1%,0.78,"5,350.",Remediation Oil,YES,31,0.17,YES,3.96,43.55,<0.001,<0.001,-,
07/03/2014,307163,PLANT 1 - UNIT 145 - GROUNDWATER REMEDIATION / WELLS,P1 N ? Sumps/Wells/Trenches (clean truck),OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,4,168,>90%,99.0%,1.,1.69,All Groundwater,NO,629,<0.01,1%,0.78,"5,350.",Remediation Oil,YES,5,0.03,YES,0.63,43.55,<0.001,<0.001,-,
07/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,OILY WATER,PLANT 1 - VAC PAD,YES,VAC PAD,NO,NO,30,"1,260",99%,90.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"4,289",0.05,10%,0.81,"1,543.33",TK-4516 Slop Oil Tank,YES,388,0.6,YES,4.68,137.54,<0.001,<0.001,-,
07/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - TANK 4516 ,SLUDGE,PLANT 1 - STORAGE FRAC TANKS BY FLARE,YES,Frac Tanks by Flare,NO,NO,300,"12,600",<10%,10.0%,1.,10.5,TK-4516 Slop Oil Tank Aqueous,NO,"4,766",0.05,90%,0.81,"1,543.33",TK-4516 Slop Oil Tank,YES,"34,885",53.84,YES,39.65,"1,359.10",0.05,0.05,-,
07/03/2014,307163,PLANT 1 - UNIT 045 - WASTEWATER PLANT (WWTP),PLANT 1 - OLD APIs,SOLIDS AND WATER,PLANT 1 - CENTRIFUGE MIX TANKS,YES,TO,NO,NO,280,"11,760",<10%,10.0%,1.,<0.01,Stripped Sour Water,YES,"4,448",<0.01,90%,0.85,<0.01,Stripped Sour Water,YES,"34,027",<0.01,YES,38.48,<0.011,<0.001,<0.001,-,
