C,D,E,F,G,H,I,Q,R,X,Y
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK12-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-LPGETHANOLDRUMS,ETHANOL,PLANT1-VACPAD,NO,VAC PAD,NO,Ethanol,NO,Ethanol,NO
,,,,YES,VAC PAD,NO,Ethanol,NO,Ethanol,NO
PLANT1-NORTHOFTHEFENCELINE,REDDRAGON,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
METRO,RECOVERYSYSTEMS,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-SKIDANDCONCRETEPADATCENTRIFUGE,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
,,,,NO,NA,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516,SLUDGE,PLANT1-CENTRIFUGEFRACTANKS,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,NO,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
,,,,YES,TO,NO,TK-4516 Slop Oil Tank,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-1STLAGOON,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
,,,,YES,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516-CONTAINMENT,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-ETHANOLDRUMS,ETHANOL,PLANT1-VACPAD,NO,VAC PAD,NO,Ethanol,NO,Ethanol,NO
,,,,YES,VAC PAD,NO,Ethanol,NO,Ethanol,NO
,,,,NO,NA,NO,Ethanol,NO,Ethanol,NO
METRO,RECOVERYSYSTEM,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK27-WATERDRAW,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,YES,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,NO,NA,NO,Sludge Processing,NO,Sludge Processing,NO
,,,,NO,NA,NO,sludge processing,NO,sludge processing,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK27-SLUDGE,SLUDGE,PLANT1-TANK29,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,YES,TO,NO,sludge processing,NO,sludge processing,NO
,,,,NO,NA,NO,Sludge Processing,NO,Sludge Processing,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANKSSECONDARYCONTAINMENTS-ENVIRONMENTAL,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4513-WATERDRAW,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,NO,NA,NO,Sludge Processing,NO,Sludge Processing,NO
,,,,NO,NA,NO,sludge processing,NO,sludge processing,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-3RDLAGOON,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Fourth Lagoon,NO,Fourth Lagoon,NO
,,,,NO,NA,NO,Fourth Lagoon,YES,Fourth Lagoon,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stripped Sour Water,YES,Stripped Sour Water Oil,NO
,,,,NO,VAC PAD,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-FRACTANKS-TANK4516-CENTRIFUGE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,SOLIDS,PLANT1-CENTRIFUGEFRACTANKS,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,NO,TO,NO,Stripped Sour Water,NO,Stripped Sour Water,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK2007-CONTAINMENT,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,SLUDGE,PLANT1-CENTRIFUGEMIXTANKS,YES,TO,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,TO,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,SOLIDSANDWATER,PLANT1-CENTRIFUGEMIXTANKS,NO,VAC PAD,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,YES,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,YES
PLANT1-STORMWATER,PLANT1-DRUMD-196CONTAINMENT-STORMWATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,SOLIDSANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Sludge,NO,Sludge,NO
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,NO,NA,NO,All Groundwater,NO,Remediation Oil,NO
,,,,NO,NA,NO,All Groundwater,YES,Remediation Oil,NO
PLANT1-STORMWATER,PLANT1-TANK72-PUMPCONTAINMENT,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,no,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANKSSECONDARYCONTAINMENTS-ENVIRONMENTAL,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4501,OIL,PLANT1-CENTRIFUGEMIXTANKS,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,TO,NO,"Tank 4501, Aqueous Layer",NO,"Tank 4501, Oil Layer",NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,SOLIDS,PLANT1-CENTRIFUGEMIXTANKS,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,YES,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANKSSECONDARYCONTAINMENTS-ENVIRONMENTAL,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-GOODOILFRACTANKATCENTRIFUGE,OIL,PLANT1-CENTRIFUGEMIXTANKS,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
PLANT1-STORMWATER,PLANT1-TANK2007-CONTAINMENT,STORMWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-STORMWATER,PLANT1-PUMPP-803-AREA,STORMWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT2-UNIT070-WASTEWATER,PLANT2-TANK29-OILDRAIN,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Tank 29 Aqueous,YES,Tank 29 Oil,YES
,,,,NO,VAC PAD,YES,Tank 29 Aqueous,YES,Tank 29 Oil,YES
PLANT2-UNIT001-#2CRUDE,PLANT2-CRUDEDOCKSSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,crude,no,crude,no
PLANT1-STORMWATER,PLANT1-TANK52-PUMPCONTAINMENT,STORMWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-STORMWATER,PLANT1-FLUXLOADINGRACKCONTAINMENT,STORMWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK27-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,sludge processing,NO,sludge processing,NO
,,,,NO,VAC PAD,NO,sludge processing,NO,sludge processing,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANKSSECONDARYCONTAINMENT-ENVIRONMENTAL,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516,SLUDGE,PLANT1-STORAGEFRACTANKSFROMTANK-4516,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,Frac Tanks by TK-4516,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-CONCRETEPADANDSKIDATCENTRIFUGE,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,NO,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4508-DGF,SLUDGE,PLANT1-STORAGEFRACTANKSFROMTANK-4516,YES,TO,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
,,,,YES,Frac Tanks by TK-4516,NO,TK-4507 Waste Water Tank,YES,TK-4507 Waste Water Tank,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-OLDAPIS,SLUDGE,PLANT1-CENTRIFUGEMIXTANKS,NO,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,NO
,,,,YES,TO,NO,Stripped Sour Water,YES,Stripped Sour Water,YES
PLANT2-UNIT070-WASTEWATER,PLANT2-TANK29-OILDRAIN,OIL,PLANT2-CRUDEUNLOADINGBAY5,YES,Plant 2,NO,Tank 29 Aqueous,YES,Tank 29 Oil,YES
,,,,NO,Crude Docks,YES,Tank 29 Aqueous,YES,Tank 29 Oil,YES
METRO,RECOVERYSYSTEMS,WATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,DIESELANDGAS,PLANT1-VACPAD,NO,VAC PAD,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,NA,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
DENVERTRUCKTERMINAL,DENVERTERMINAL-VAPORSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,yes,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,VAC PAD,NO,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
PLANT1-STORMWATER,PLANT1-CHEMWAREHOUSECONTAINMENT-STORMWATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-STORMWATER,PLANT1-TANK96/97-SUMP,OILYSTORMWATER,PLANT1-VACPAD,NO,VAC PAD,no,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-STORMWATER,PLANT1-TANK70-PUMPCONTAINMENT,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,no,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-STORMWATER,PLANT1-BOREPIT,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,""
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK3-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,DISTILLATE,NO,DISTILLATE,NO
,,,,NO,VAC PAD,NO,Distillate,NO,Distillate,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-FLARESUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,NO,NA,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK3801-WATERDRAW,DIESELANDWATER,PLANT1-VACPAD,yes,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,yes,Frac Tanks by Flare,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,yes,NA,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
PLANT1-UNIT039-FLARE,PLANT1-DRUMD-322CONTAINMENT-STORMWATER/WATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT039-FLARE,PLANT1-FLARESUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,NO,NA,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-STORAGEFRACTANKSBYFLARE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,TO,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),P1N-MONITORINGTRENCHESNORTHOFPOND/SWALE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),P1N?SUMPS/WELLS/TRENCHES(CLEANTRUCK),OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,P1N-MONITORINGTRENCHESNORTHOFPOND/SWALE,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,P1N?SUMPS/WELLS/TRENCHES(CLEANTRUCK),OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,YES,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,YES,VAC PAD,NO,All Groundwater,YES,Remediation Oil,NO
PLANT1-UNIT145-GROUNDWATERREMEDIATION/WELLS,PLANT1-SURGEBASIN,SLUDGE,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,NO
,,,,NO,VAC PAD,NO,Sludge,NO,Sludge,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK44-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Reformate,NO,Reformate,NO
,,,,NO,VAC PAD,NO,REFORMATE,NO,REFORMATE,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-TANK29,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,YES,Tank 29 Aqueous,YES,Tank 29 Oil,YES
,,,,YES,VAC PAD,NO,Tank 29 Aqueous,YES,Tank 29 Oil,YES
PLANT2-UNIT410-#2OMDLOADINGRACKS,PLANT2-CRUDEDOCKSSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,NA,NO,Crude,NO,Crude,NO
PLANT3-STORMWATER,PLANT3-AUSCALEHOUSE-STORMWATER,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-SAMPLEPOINTS#1OMD,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,NA,NO,Crude,NO,Crude,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-SAMPLEPOINTS#1OMD,DIESELANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,NA,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-SAMPLEPOINTS#1OMD,DIESELANDGAS,PLANT1-VACPAD,NO,VAC PAD,NO,Gasoline,NO,Gasoline,NO
,,,,NO,NA,NO,Gasoline,NO,Gasoline,NO
PLANT3-UNIT032-ASPHALTBLENDINGANDLOADING,PLANT3-AUGASOILPAD,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT3-UNIT019-ASPHALTMATERIAL,PLANT3-CPICONTAINMENT,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK86/87,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK72-SUMP/WATERDRAW,DIESELANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,NO,NA,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
PLANT2-STORMWATER,PLANT2-CRUDEDOCKSSUMP,OILYSTORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT3-UNIT019-ASPHALTMATERIAL,PLANT3VAPORDRUMS,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Gas Oil,NO,Gas Oil,NO
,,,,NO,NA,NO,Gas Oil,NO,Gas Oil,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK2004/2007-PUMPCONTAINMENT,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK96/97-WATERDRAW,GASOLINEANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,NO,NA,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK64/65/66-WATERDRAW,DIESELANDWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,NA,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,ETHANOLDOCK,ETHANOL,PLANT1-VACPAD,NO,VAC PAD,NO,Ethanol,NO,Ethanol,NO
,,,,NO,NA,NO,Ethanol,NO,Ethanol,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-SURGEBASINSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,All Groundwater,NO,Remediation Oil,YES
,,,,NO,VAC PAD,NO,All Groundwater,YES,Remediation Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK74-WATERDRAW,GASOLINEANDWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,VAC PAD,NO,Jet,NO,Jet,""
PLANT3-UNIT019-ASPHALTMATERIAL,PLANT3-CPIDRUM,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,CPI Effluent Aqueous,no,CPI Effluent Oil,no
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK34-WATERDRAW,GASOLINEANDWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,NO
,,,,YES,VAC PAD,NO,Post-GBR Gasoline,NO,Post-GBR Gasoline,""
PLANT3-UNIT019-ASPHALTMATERIAL,PLANT3-AUGASOILPAD,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK2-AREA,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK64-CONTAINMENT,DIESEL,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,NO,NA,NO,Diesel,NO,Diesel,NO
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,DIESELANDWATER,PLANT1-VACPAD,NO,VAC PAD,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,NA,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,DIESELANDGAS,PLANT1-CENTRIFUGEFRACTANKS,NO,TO,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,NA,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,FLUXDOCK,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,No,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
CRUDEDOCKSUNLOADING,CRUDEDOCKS-UNDERGROUNDTANK-TANK101SECONDARYCONTAINMENTS,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-WASTEPLASTICTOTEATSUMITOMO,WATER,PLANT1-VACPAD,YES,VAC PAD,NO,SLUDGE,NO,SLUDGE,NO
,,,,YES,VAC PAD,NO,Sludge,NO,Sludge,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-TANK4516,SLUDGE,PLANT1-STORAGEFRACTANKS,YES,Frac Tanks by Flare,NO,TK-4516 Slop Oil Tank Aqueous,NO,TK-4516 Slop Oil Tank,YES
,,,,YES,Frac Tanks by Flare,NO,Sludge,NO,Sludge,NO
DENVERTRUCKTERMINAL,DENVERTERMINAL-6000GALSLOPTANK,DIESELANDGAS,PLANT1-TANK775,NO,Tank 775,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
,,,,NO,NA,YES,Denver Truck Terminal Aqueous,YES,Denver Truck Terminal Oil,YES
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK59-TRENCH/STORMWATER,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,no,NA,NO,Stormwater,NO,Stormwater,no
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK80-WATERDRAW,REFORMATEANDWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Reformate,NO,Reformate,NO
,,,,YES,VAC PAD,NO,Debut Gasoline,NO,Debut Gasoline,NO
CRUDEDOCKSUNLOADING,CRUDEDOCKS-SECONDARYCONTAINMENTS,STORMWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
,,,,NO,NA,NO,Stormwater,NO,Stormwater,NO
