C,D,E,F,G,H,I,Q,R,X,Y
,,,,YES,TO,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK72-SUMP/WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,YES,VAC PAD,NO,Ultra Low Sulfur Diesel,NO,Ultra Low Sulfur Diesel,NO
,,,,NO,VAC PAD,NO,Stormwater,NO,Stormwater,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK74-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,VAC PAD,NO,Jet,NO,Jet,NO
,,,,YES,NA,NO,Jet,NO,Jet,NO
,,,,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK70-WATERDRAW,OILYWATER,PLANT1-VACPAD,YES,VAC PAD,NO,Reformate,NO,Reformate,NO
,,,,YES,VAC PAD,NO,REFORMATE,NO,REFORMATE,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-TANK64/65/66-WATERDRAW,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Diesel,NO,Diesel,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-CRUDEUNLOADINGSUMP,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Crude,NO,Crude,NO
,,,,YES,VAC PAD,NO,Crude,NO,Crude,NO
,,,,NO,NA,NO,Crude,NO,Crude,NO
,,,,NO,VAC PAD,NO,CRUDE,NO,CRUDE,NO
PLANT2-UNIT210-#2OMDTANKFARM,PLANT2-SAMPLEPOINTS#2OMD,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,YES,VAC PAD,NO,Slop Oil Tank 20,NO,Slop Oil Tank 20,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Tank 20 Water Draw,NO
,,,,NO,VAC PAD,NO,Tank 20 Water Draw,NO,Slop Oil Tank 20,NO
PLANT1-UNIT008-#1OMDTANKFARM,PLANT1-DRUMD-815MATERIAL,DIESEL,PLANT1-TANK58,YES,TO,NO,Diesel,NO,Diesel,NO
,,,,YES,TK-58,NO,Diesel,NO,Diesel,NO
,,,,YES,TK-58,NO,DIESEL,NO,DIESEL,NO
,,,,YES,VAC PAD,NO,Diesel,NO,Diesel,NO
PLANT1-UNIT039-FLARE,PLANT1-DRUMD-3901MATERIAL,SOURWATER,PLANT1-DRUMD-3901,YES,PLANT 1 - DRUM D-3901,NO,Sour Water,NO,Sour Water,NO
,,,,YES,D-3901,NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO,"Knockout Water, Fuel Gas (Hydrocraker)",NO
,,,,YES,D-3901,NO,Sour Water,NO,Sour Water,NO
PLANT1-UNIT045-WASTEWATERPLANT(WWTP),PLANT1-SAMPLEPOINTS-ENVIRONMENTAL,OILYWATER,PLANT1-VACPAD,NO,VAC PAD,NO,TK-4507 Waste Water Tank,NO,TK-4507 Waste Water Tank,NO
